numbers,bonus_ball,date
"10,12,36,37,47,49",13,1998-05-05
"2,14,15,27,42,48",9,1998-05-11
"7,26,33,40,44,45",22,1998-05-11
"1,22,33,36,37,44",16,1998-05-17
"2,22,26,31,35,39",3,1998-05-17
"5,21,24,26,29,35",14,1998-05-23
"5,29,31,36,45,47",8,1998-05-23
"12,19,27,28,45,49",17,1998-05-29
"3,7,12,30,37,46",11,1998-05-29
"4,8,13,16,28,41",6,1998-06-04
"4,15,16,18,31,41",10,1998-06-04
"4,12,19,31,40,41",17,1998-06-10
"7,22,29,36,38,41",21,1998-06-10
"7,12,22,26,42,46",9,1998-06-16
"17,24,28,42,43,46",22,1998-06-16
"5,21,24,26,29,35",14,1998-06-22
"5,29,31,36,45,47",8,1998-06-22
"12,19,27,28,45,49",17,1998-06-28
"3,7,12,30,37,46",11,1998-06-28
"4,8,13,16,28,41",6,1998-07-04
"4,15,16,18,31,41",10,1998-07-04
"4,12,19,31,40,41",17,1998-07-10
"7,22,29,36,38,41",21,1998-07-10
"7,12,22,26,42,46",9,1998-07-16
"17,24,28,42,43,46",22,1998-07-16
"3,14,24,32,41,45",15,1998-07-22
"20,24,32,45,46,48",22,1998-07-22
"2,16,17,24,31,46",13,1998-07-28
"2,18,19,28,40,47",7,1998-07-28
"8,32,34,37,39,44",30,1998-08-03
"2,12,20,26,28,42",7,1998-08-03
"8,9,16,17,43,48",11,1998-08-09
"8,20,26,27,32,39",10,1998-08-09
"5,10,11,14,34,37",6,1998-08-15
"2,24,25,32,35,49",18,1998-08-15
"3,14,24,32,41,45",15,1998-08-21
"20,24,32,45,46,48",22,1998-08-21
"2,16,17,24,31,46",13,1998-08-27
"2,18,19,28,40,47",7,1998-08-27
"8,32,34,37,39,44",30,1998-09-02
"2,12,20,26,28,42",7,1998-09-02
"8,9,16,17,43,48",11,1998-09-08
"8,20,26,27,32,39",10,1998-09-08
"5,10,11,14,34,37",6,1998-09-14
"2,24,25,32,35,49",18,1998-09-14
"6,13,22,25,32,46",18,1998-09-20
"4,17,19,24,27,43",12,1998-09-20
"3,17,25,26,28,43",13,1998-09-26
"2,27,28,39,43,47",10,1998-09-26
"6,7,19,25,31,48",13,1998-10-02
"7,29,32,34,40,49",19,1998-10-02
"2,3,30,31,34,38",8,1998-10-08
"5,12,13,15,19,29",6,1998-10-08
"6,22,24,39,40,46",23,1998-10-14
"5,25,29,31,33,46",8,1998-10-14
"6,13,22,25,32,46",18,1998-10-20
"4,17,19,24,27,43",12,1998-10-20
"3,17,25,26,28,43",13,1998-10-26
"2,27,28,39,43,47",10,1998-10-26
"6,7,19,25,31,48",13,1998-11-01
"7,29,32,34,40,49",19,1998-11-01
"2,3,30,31,34,38",8,1998-11-07
"5,12,13,15,19,29",6,1998-11-07
"6,22,24,39,40,46",23,1998-11-13
"5,25,29,31,33,46",8,1998-11-13
"6,13,16,34,41,44",11,1998-11-19
"6,11,24,25,31,39",20,1998-11-19
"3,20,26,30,37,44",16,1998-11-25
"14,24,33,42,44,49",25,1998-11-25
"1,7,17,37,46,47",2,1998-12-01
"5,10,30,40,47,48",7,1998-12-01
"2,7,11,14,39,46",4,1998-12-07
"4,12,40,41,42,47",27,1998-12-07
"3,17,28,33,37,39",26,1998-12-13
"5,11,19,40,42,49",9,1998-12-13
"6,13,16,34,41,44",11,1998-12-19
"6,11,24,25,31,39",20,1998-12-19
"3,20,26,30,37,44",16,1998-12-25
"14,24,33,42,44,49",25,1998-12-25
"1,7,17,37,46,47",2,1998-12-31
"5,10,30,40,47,48",7,1998-12-31
"2,7,11,14,39,46",4,1999-01-06
"4,12,40,41,42,47",27,1999-01-06
"3,17,28,33,37,39",26,1999-01-12
"5,11,19,40,42,49",9,1999-01-12
"2,10,16,21,32,38",3,1999-01-18
"2,5,8,33,36,49",4,1999-01-18
"14,23,25,30,40,45",19,1999-01-24
"15,17,32,36,38,45",21,1999-01-24
"2,19,21,28,30,34",14,1999-01-30
"16,30,32,35,36,45",25,1999-01-30
"1,7,11,12,33,49",2,1999-02-05
"8,25,33,41,44,47",17,1999-02-05
"1,27,32,38,46,49",16,1999-02-11
"9,14,24,29,33,37",10,1999-02-11
"2,10,16,21,32,38",3,1999-02-17
"2,5,8,33,36,49",4,1999-02-17
"14,23,25,30,40,45",19,1999-02-23
"15,17,32,36,38,45",21,1999-02-23
"2,19,21,28,30,34",14,1999-03-01
"16,30,32,35,36,45",25,1999-03-01
"1,7,11,12,33,49",2,1999-03-07
"8,25,33,41,44,47",17,1999-03-07
"1,27,32,38,46,49",16,1999-03-13
"9,14,24,29,33,37",10,1999-03-13
"1,13,19,21,42,48",4,1999-03-19
"5,33,42,46,48,49",20,1999-03-19
"9,16,22,28,29,41",10,1999-03-25
"12,27,31,37,40,41",22,1999-03-25
"2,9,35,42,44,49",31,1999-03-31
"3,20,22,23,24,49",14,1999-03-31
"21,26,30,39,41,43",29,1999-04-06
"11,32,36,37,39,44",20,1999-04-06
"10,17,29,30,38,39",18,1999-04-12
"2,7,11,14,15,19",4,1999-04-12
"1,13,19,21,42,48",4,1999-04-18
"5,33,42,46,48,49",20,1999-04-18
"9,16,22,28,29,41",10,1999-04-24
"12,27,31,37,40,41",22,1999-04-24
"2,9,35,42,44,49",31,1999-04-30
"3,20,22,23,24,49",14,1999-04-30
"21,26,30,39,41,43",29,1999-05-06
"11,32,36,37,39,44",20,1999-05-06
"10,17,29,30,38,39",18,1999-05-12
"2,7,11,14,15,19",4,1999-05-12
"2,13,28,39,41,45",11,1999-05-18
"11,18,21,29,30,47",17,1999-05-18
"2,8,33,36,44,47",5,1999-05-24
"9,26,35,38,44,47",17,1999-05-24
"2,23,29,35,38,47",17,1999-05-30
"5,10,17,24,25,36",8,1999-05-30
"9,34,35,38,39,47",21,1999-06-05
"2,8,14,22,27,47",5,1999-06-05
"8,11,29,30,37,42",10,1999-06-11
"4,6,21,22,33,42",16,1999-06-11
"2,13,28,39,41,45",11,1999-06-17
"11,18,21,29,30,47",17,1999-06-17
"2,8,33,36,44,47",5,1999-06-23
"9,26,35,38,44,47",17,1999-06-23
"2,23,29,35,38,47",17,1999-06-29
"5,10,17,24,25,36",8,1999-06-29
"9,34,35,38,39,47",21,1999-07-05
"2,8,14,22,27,47",5,1999-07-05
"8,11,29,30,37,42",10,1999-07-11
"4,6,21,22,33,42",16,1999-07-11
"4,10,18,21,30,33",6,1999-07-17
"5,21,28,33,36,41",11,1999-07-17
"7,17,19,35,37,44",12,1999-07-23
"6,7,17,29,34,38",13,1999-07-23
"4,14,30,38,42,43",26,1999-07-29
"9,27,37,39,41,46",10,1999-07-29
"5,9,26,38,45,47",23,1999-08-04
"13,14,27,28,41,47",21,1999-08-04
"5,16,19,36,39,40",18,1999-08-10
"3,28,30,33,39,43",11,1999-08-10
"4,10,18,21,30,33",6,1999-08-16
"5,21,28,33,36,41",11,1999-08-16
"7,17,19,35,37,44",12,1999-08-22
"6,7,17,29,34,38",13,1999-08-22
"4,14,30,38,42,43",26,1999-08-28
"9,27,37,39,41,46",10,1999-08-28
"5,9,26,38,45,47",23,1999-09-03
"13,14,27,28,41,47",21,1999-09-03
"5,16,19,36,39,40",18,1999-09-09
"3,28,30,33,39,43",11,1999-09-09
"3,6,16,25,30,36",12,1999-09-15
"4,6,10,16,24,43",8,1999-09-15
"10,14,26,28,41,45",15,1999-09-21
"4,6,18,21,25,42",15,1999-09-21
"6,10,12,21,23,26",8,1999-09-27
"2,23,25,27,30,37",20,1999-09-27
"1,7,15,19,39,40",4,1999-10-03
"23,30,33,38,41,48",24,1999-10-03
"9,32,40,43,47,48",31,1999-10-09
"2,6,29,32,36,48",21,1999-10-09
"3,6,16,25,30,36",12,1999-10-15
"4,6,10,16,24,43",8,1999-10-15
"10,14,26,28,41,45",15,1999-10-21
"4,6,18,21,25,42",15,1999-10-21
"6,10,12,21,23,26",8,1999-10-27
"2,23,25,27,30,37",20,1999-10-27
"1,7,15,19,39,40",4,1999-11-02
"23,30,33,38,41,48",24,1999-11-02
"9,32,40,43,47,48",31,1999-11-08
"2,6,29,32,36,48",21,1999-11-08
"1,10,14,16,18,23",4,1999-11-14
"1,9,18,20,44,49",12,1999-11-14
"1,7,32,37,43,48",6,1999-11-20
"4,12,18,24,27,47",10,1999-11-20
"2,23,31,39,42,45",24,1999-11-26
"2,29,30,34,45,48",28,1999-11-26
"3,5,13,17,18,22",8,1999-12-02
"6,11,20,39,46,49",17,1999-12-02
"3,10,30,38,40,41",26,1999-12-08
"5,14,27,41,44,47",12,1999-12-08
"1,10,14,16,18,23",4,1999-12-14
"1,9,18,20,44,49",12,1999-12-14
"1,7,32,37,43,48",6,1999-12-20
"4,12,18,24,27,47",10,1999-12-20
"2,23,31,39,42,45",24,1999-12-26
"2,29,30,34,45,48",28,1999-12-26
"3,5,13,17,18,22",8,2000-01-01
"6,11,20,39,46,49",17,2000-01-01
"3,10,30,38,40,41",26,2000-01-07
"5,14,27,41,44,47",12,2000-01-07
"8,15,19,20,25,33",11,2000-01-13
"9,18,32,38,40,41",12,2000-01-13
"20,33,37,38,39,43",30,2000-01-19
"1,17,28,34,37,43",25,2000-01-19
"4,7,25,34,41,47",6,2000-01-25
"10,13,14,16,20,31",12,2000-01-25
"16,30,37,39,40,48",25,2000-01-31
"1,24,31,34,43,45",4,2000-01-31
"1,15,41,45,47,48",9,2000-02-06
"1,20,28,33,36,49",8,2000-02-06
"8,15,19,20,25,33",11,2000-02-12
"9,18,32,38,40,41",12,2000-02-12
"20,33,37,38,39,43",30,2000-02-18
"1,17,28,34,37,43",25,2000-02-18
"4,7,25,34,41,47",6,2000-02-24
"10,13,14,16,20,31",12,2000-02-24
"16,30,37,39,40,48",25,2000-03-01
"1,24,31,34,43,45",4,2000-03-01
"1,15,41,45,47,48",9,2000-03-07
"1,20,28,33,36,49",8,2000-03-07
"3,7,16,20,25,27",6,2000-03-13
"4,26,28,30,33,42",11,2000-03-13
"8,29,30,36,40,41",23,2000-03-19
"3,23,34,37,43,47",18,2000-03-19
"6,12,14,19,22,30",8,2000-03-25
"1,3,25,28,29,42",9,2000-03-25
"9,24,34,36,42,46",19,2000-03-31
"9,18,23,35,36,49",13,2000-03-31
"4,16,17,30,34,45",11,2000-04-06
"10,16,29,31,32,41",20,2000-04-06
"1,4,33,37,38,45",15,2000-04-12
"9,16,20,35,39,43",12,2000-04-12
"5,8,17,31,35,39",9,2000-04-18
"8,10,32,37,43,47",24,2000-04-18
"1,6,24,32,39,45",17,2000-04-24
"5,19,29,32,34,41",8,2000-04-24
"1,15,24,32,34,40",14,2000-04-30
"4,14,31,44,45,47",19,2000-04-30
"4,26,31,40,45,48",17,2000-05-06
"5,6,31,32,40,43",11,2000-05-06
"9,11,21,35,36,49",10,2000-05-12
"15,38,43,47,48,49",31,2000-05-12
"2,6,35,43,45,46",7,2000-05-18
"5,17,29,31,41,44",13,2000-05-18
"9,12,33,34,35,41",22,2000-05-24
"5,17,27,30,45,49",24,2000-05-24
"5,14,23,24,25,39",21,2000-05-30
"9,21,35,38,42,44",20,2000-05-30
"2,18,29,31,35,45",21,2000-06-05
"4,12,13,27,33,34",8,2000-06-05
"23,34,39,44,47,49",32,2000-06-11
"13,17,35,40,41,42",33,2000-06-11
"4,17,18,26,27,49",15,2000-06-17
"14,25,26,29,33,45",17,2000-06-17
"2,6,27,29,34,46",21,2000-06-23
"5,11,13,17,22,34",10,2000-06-23
"9,19,27,33,37,42",20,2000-06-29
"4,26,27,30,32,47",5,2000-06-29
"6,20,27,39,43,49",23,2000-07-05
"7,16,22,33,43,47",10,2000-07-05
"23,34,39,44,47,49",32,2000-07-11
"13,17,35,40,41,42",33,2000-07-11
"4,17,18,26,27,49",15,2000-07-17
"14,25,26,29,33,45",17,2000-07-17
"2,6,27,29,34,46",21,2000-07-23
"5,11,13,17,22,34",10,2000-07-23
"9,19,27,33,37,42",20,2000-07-29
"4,26,27,30,32,47",5,2000-07-29
"6,20,27,39,43,49",23,2000-08-04
"7,16,22,33,43,47",10,2000-08-04
"20,29,33,37,46,47",25,2000-08-10
"2,11,25,31,35,42",9,2000-08-10
"9,22,25,29,48,49",12,2000-08-16
"2,36,37,42,44,47",22,2000-08-16
"2,24,26,27,38,46",9,2000-08-22
"7,26,28,33,45,48",25,2000-08-22
"20,23,24,36,40,43",21,2000-08-28
"7,21,27,28,29,47",8,2000-08-28
"1,25,26,29,36,38",3,2000-09-03
"1,14,17,30,39,40",11,2000-09-03
"1,29,30,31,39,40",26,2000-09-09
"2,20,24,41,45,47",14,2000-09-09
"12,18,31,40,47,49",15,2000-09-15
"8,22,24,32,41,44",21,2000-09-15
"13,20,22,36,43,48",16,2000-09-21
"3,19,24,36,39,40",5,2000-09-21
"9,12,14,24,31,47",11,2000-09-27
"15,23,24,27,41,44",20,2000-09-27
"8,30,37,38,40,43",9,2000-10-03
"2,25,39,41,44,46",16,2000-10-03
"1,29,30,31,39,40",26,2000-10-09
"2,20,24,41,45,47",14,2000-10-09
"12,18,31,40,47,49",15,2000-10-15
"8,22,24,32,41,44",21,2000-10-15
"13,20,22,36,43,48",16,2000-10-21
"3,19,24,36,39,40",5,2000-10-21
"9,12,14,24,31,47",11,2000-10-27
"15,23,24,27,41,44",20,2000-10-27
"8,30,37,38,40,43",9,2000-11-02
"2,25,39,41,44,46",16,2000-11-02
"5,18,37,41,43,46",13,2000-11-08
"1,17,18,20,37,41",5,2000-11-08
"9,12,17,30,32,48",11,2000-11-14
"2,8,31,38,43,46",17,2000-11-14
"3,19,20,29,32,45",6,2000-11-20
"3,16,19,23,28,31",4,2000-11-20
"3,18,27,34,36,38",13,2000-11-26
"13,17,25,28,32,48",15,2000-11-26
"4,13,14,34,38,42",12,2000-12-02
"27,35,41,42,46,47",31,2000-12-02
"4,20,26,27,36,44",7,2000-12-08
"15,26,35,41,44,45",21,2000-12-08
"14,23,27,40,47,48",17,2000-12-14
"7,27,37,40,44,49",9,2000-12-14
"1,23,31,34,35,46",6,2000-12-20
"3,7,25,28,41,49",15,2000-12-20
"2,29,36,38,42,47",12,2000-12-26
"4,11,21,30,44,46",9,2000-12-26
"5,18,20,29,33,48",13,2001-01-01
"2,18,23,39,46,47",14,2001-01-01
"4,20,26,27,36,44",7,2001-01-07
"15,26,35,41,44,45",21,2001-01-07
"14,23,27,40,47,48",17,2001-01-13
"7,27,37,40,44,49",9,2001-01-13
"1,23,31,34,35,46",6,2001-01-19
"3,7,25,28,41,49",15,2001-01-19
"2,29,36,38,42,47",12,2001-01-25
"4,11,21,30,44,46",9,2001-01-25
"5,18,20,29,33,48",13,2001-01-31
"2,18,23,39,46,47",14,2001-01-31
"11,32,33,39,44,45",20,2001-02-06
"8,22,33,36,39,43",12,2001-02-06
"1,4,36,39,40,44",14,2001-02-12
"4,13,19,30,33,48",12,2001-02-12
"2,11,12,20,33,39",7,2001-02-18
"12,20,26,28,31,47",15,2001-02-18
"3,12,30,44,45,48",9,2001-02-24
"1,4,23,38,39,40",2,2001-02-24
"6,11,20,37,43,47",14,2001-03-02
"7,18,21,38,43,49",8,2001-03-02
"11,32,33,39,44,45",20,2001-03-08
"8,22,33,36,39,43",12,2001-03-08
"1,4,36,39,40,44",14,2001-03-14
"4,13,19,30,33,48",12,2001-03-14
"2,11,12,20,33,39",7,2001-03-20
"12,20,26,28,31,47",15,2001-03-20
"3,12,30,44,45,48",9,2001-03-26
"1,4,23,38,39,40",2,2001-03-26
"6,11,20,37,43,47",14,2001-04-01
"7,18,21,38,43,49",8,2001-04-01
"14,24,28,29,40,42",26,2001-04-07
"6,21,31,36,37,39",18,2001-04-07
"5,38,40,42,47,48",29,2001-04-13
"10,21,30,32,40,41",26,2001-04-13
"1,24,26,30,33,36",19,2001-04-19
"33,41,42,44,47,49",39,2001-04-19
"3,27,40,41,44,46",24,2001-04-25
"13,19,24,40,43,47",18,2001-04-25
"11,26,37,40,42,46",31,2001-05-01
"17,23,28,41,42,43",24,2001-05-01
"14,24,28,29,40,42",26,2001-05-07
"6,21,31,36,37,39",18,2001-05-07
"5,38,40,42,47,48",29,2001-05-13
"10,21,30,32,40,41",26,2001-05-13
"1,24,26,30,33,36",19,2001-05-19
"33,41,42,44,47,49",39,2001-05-19
"3,27,40,41,44,46",24,2001-05-25
"13,19,24,40,43,47",18,2001-05-25
"11,26,37,40,42,46",31,2001-05-31
"17,23,28,41,42,43",24,2001-05-31
"3,20,31,33,37,38",5,2001-06-06
"3,15,20,33,35,47",7,2001-06-06
"1,4,23,32,33,41",7,2001-06-12
"1,10,21,27,36,45",18,2001-06-12
"4,16,19,25,29,37",10,2001-06-18
"4,22,35,36,46,48",18,2001-06-18
"4,12,15,19,23,32",10,2001-06-24
"2,22,29,32,33,34",12,2001-06-24
"3,30,33,41,46,49",32,2001-06-30
"1,21,29,38,46,49",16,2001-06-30
"3,20,31,33,37,38",5,2001-07-06
"3,15,20,33,35,47",7,2001-07-06
"1,4,23,32,33,41",7,2001-07-12
"1,10,21,27,36,45",18,2001-07-12
"4,16,19,25,29,37",10,2001-07-18
"4,22,35,36,46,48",18,2001-07-18
"4,12,15,19,23,32",10,2001-07-24
"2,22,29,32,33,34",12,2001-07-24
"3,30,33,41,46,49",32,2001-07-30
"1,21,29,38,46,49",16,2001-07-30
"3,7,23,29,32,40",8,2001-08-05
"13,32,35,41,43,45",19,2001-08-05
"17,29,34,43,45,48",28,2001-08-11
"1,17,19,20,28,31",18,2001-08-11
"6,26,31,32,36,43",22,2001-08-17
"23,30,37,39,43,45",27,2001-08-17
"14,21,31,33,36,37",23,2001-08-23
"2,23,39,42,44,45",27,2001-08-23
"2,20,27,28,39,41",8,2001-08-29
"6,23,27,28,38,43",9,2001-08-29
"3,7,23,29,32,40",8,2001-09-04
"13,32,35,41,43,45",19,2001-09-04
"17,29,34,43,45,48",28,2001-09-10
"1,17,19,20,28,31",18,2001-09-10
"6,26,31,32,36,43",22,2001-09-16
"23,30,37,39,43,45",27,2001-09-16
"14,21,31,33,36,37",23,2001-09-22
"2,23,39,42,44,45",27,2001-09-22
"2,20,27,28,39,41",8,2001-09-28
"6,23,27,28,38,43",9,2001-09-28
"7,36,42,45,48,49",8,2001-10-04
"12,21,32,33,39,43",30,2001-10-04
"9,20,29,30,44,45",12,2001-10-10
"3,10,17,28,29,38",8,2001-10-10
"4,6,11,32,39,45",8,2001-10-16
"6,7,32,36,45,46",24,2001-10-16
"4,16,17,29,34,41",8,2001-10-22
"7,9,18,23,40,45",8,2001-10-22
"4,26,27,31,32,42",7,2001-10-28
"12,38,43,44,47,49",17,2001-10-28
"7,36,42,45,48,49",8,2001-11-03
"12,21,32,33,39,43",30,2001-11-03
"9,20,29,30,44,45",12,2001-11-09
"3,10,17,28,29,38",8,2001-11-09
"4,6,11,32,39,45",8,2001-11-15
"6,7,32,36,45,46",24,2001-11-15
"4,16,17,29,34,41",8,2001-11-21
"7,9,18,23,40,45",8,2001-11-21
"4,26,27,31,32,42",7,2001-11-27
"12,38,43,44,47,49",17,2001-11-27
"7,8,28,31,33,43",20,2001-12-03
"13,35,36,38,41,46",26,2001-12-03
"8,15,28,37,46,48",27,2001-12-09
"1,16,31,33,46,49",26,2001-12-09
"5,15,23,31,34,49",21,2001-12-15
"2,19,20,27,33,35",9,2001-12-15
"8,10,23,25,46,48",18,2001-12-21
"3,5,11,26,29,33",8,2001-12-21
"4,6,19,34,43,46",5,2001-12-27
"2,23,28,43,44,48",17,2001-12-27
"7,8,28,31,33,43",20,2002-01-02
"13,35,36,38,41,46",26,2002-01-02
"8,15,28,37,46,48",27,2002-01-08
"1,16,31,33,46,49",26,2002-01-08
"5,15,23,31,34,49",21,2002-01-14
"2,19,20,27,33,35",9,2002-01-14
"8,10,23,25,46,48",18,2002-01-20
"3,5,11,26,29,33",8,2002-01-20
"4,6,19,34,43,46",5,2002-01-26
"2,23,28,43,44,48",17,2002-01-26
"11,14,22,27,29,37",13,2002-02-01
"1,16,21,22,33,43",8,2002-02-01
"5,23,26,27,34,42",19,2002-02-07
"3,18,21,25,29,34",13,2002-02-07
"1,10,13,16,28,31",6,2002-02-13
"5,17,27,31,33,37",19,2002-02-13
"11,30,33,35,38,41",27,2002-02-19
"12,19,31,34,45,48",22,2002-02-19
"4,17,28,34,42,46",12,2002-02-25
"2,5,13,16,36,48",11,2002-02-25
"11,14,22,27,29,37",13,2002-03-03
"1,16,21,22,33,43",8,2002-03-03
"5,23,26,27,34,42",19,2002-03-09
"3,18,21,25,29,34",13,2002-03-09
"1,10,13,16,28,31",6,2002-03-15
"5,17,27,31,33,37",19,2002-03-15
"11,30,33,35,38,41",27,2002-03-21
"12,19,31,34,45,48",22,2002-03-21
"4,17,28,34,42,46",12,2002-03-27
"2,5,13,16,36,48",11,2002-03-27
