numbers,bonus_ball,,,,,
13,18,22,25,32,46,6
4,12,19,24,27,43,17
3,13,17,25,28,43,26
2,10,27,28,43,47,39
6,13,19,25,31,48,7
7,19,29,32,40,49,34
3,8,30,31,34,38,2
5,6,12,13,19,29,15
22,23,24,39,40,46,6
5,8,29,31,33,46,25
6,11,13,16,34,41,44
6,20,24,25,31,39,11
3,16,26,30,37,44,20
14,25,33,42,44,49,24
1,2,7,37,46,47,17
5,7,10,30,40,48,47
2,4,11,14,39,46,7
4,27,40,41,42,47,12
3,26,28,33,37,39,17
5,9,11,19,40,49,42
6,11,13,16,34,41,44
6,20,24,25,31,39,11
3,16,26,30,37,44,20
14,25,33,42,44,49,24
1,2,7,37,46,47,17
5,7,10,30,40,48,47
2,4,11,14,39,46,7
4,27,40,41,42,47,12
3,26,28,33,37,39,17
5,9,11,19,40,49,42
2,3,16,21,32,38,10
2,4,5,8,33,36,49
14,19,25,30,40,45,23
15,21,32,36,38,45,17
2,14,19,21,30,34,28
16,25,30,32,35,45,36
1,2,7,11,12,33,49
8,17,33,41,44,47,25
1,16,27,32,38,46,49
9,10,14,29,33,37,24
2,3,16,21,32,38,10
2,4,5,8,33,36,49
14,19,25,30,40,45,23
15,21,32,36,38,45,17
2,14,19,21,30,34,28
16,25,30,32,35,45,36
1,2,7,11,12,33,49
8,17,33,41,44,47,25
1,16,27,32,38,46,49
9,10,14,29,33,37,24
1,4,13,19,21,48,42
5,20,42,46,48,49,33
9,10,16,22,28,41,29
12,22,27,31,40,41,37
9,31,35,42,44,49,2
3,14,20,22,23,24,49
21,29,30,39,41,43,26
11,20,32,37,39,44,36
10,18,29,30,38,39,17
2,4,11,14,15,19,7
1,4,13,19,21,48,42
5,20,42,46,48,49,33
9,10,16,22,28,41,29
12,22,27,31,40,41,37
9,31,35,42,44,49,2
3,14,20,22,23,24,49
21,29,30,39,41,43,26
11,20,32,37,39,44,36
10,18,29,30,38,39,17
2,4,11,14,15,19,7
2,11,13,28,41,45,39
11,17,21,29,30,47,18
2,5,8,33,44,47,36
9,17,26,35,38,44,47
2,17,23,35,38,47,29
5,8,10,17,24,36,25
9,21,34,38,39,47,35
2,5,8,14,27,47,22
8,10,11,29,37,42,30
6,16,21,22,33,42,4
2,11,13,28,41,45,39
11,17,21,29,30,47,18
2,5,8,33,44,47,36
9,17,26,35,38,44,47
2,17,23,35,38,47,29
5,8,10,17,24,36,25
9,21,34,38,39,47,35
2,5,8,14,27,47,22
8,10,11,29,37,42,30
6,16,21,22,33,42,4
4,6,10,18,21,30,33
5,11,21,33,36,41,28
7,12,17,35,37,44,19
6,13,17,29,34,38,7
4,26,30,38,42,43,14
9,10,27,37,39,41,46
9,23,26,38,45,47,5
13,21,27,28,41,47,14
5,18,19,36,39,40,16
3,11,30,33,39,43,28
4,6,10,18,21,30,33
5,11,21,33,36,41,28
7,12,17,35,37,44,19
6,13,17,29,34,38,7
4,26,30,38,42,43,14
9,10,27,37,39,41,46
9,23,26,38,45,47,5
13,21,27,28,41,47,14
5,18,19,36,39,40,16
3,11,30,33,39,43,28
3,12,16,25,30,36,6
6,8,10,16,24,43,4
10,15,26,28,41,45,14
6,15,18,21,25,42,4
6,8,12,21,23,26,10
2,20,25,27,30,37,23
1,4,7,15,39,40,19
23,24,30,38,41,48,33
9,31,32,40,47,48,43
6,21,29,32,36,48,2
3,12,16,25,30,36,6
6,8,10,16,24,43,4
10,15,26,28,41,45,14
6,15,18,21,25,42,4
6,8,12,21,23,26,10
2,20,25,27,30,37,23
1,4,7,15,39,40,19
23,24,30,38,41,48,33
9,31,32,40,47,48,43
6,21,29,32,36,48,2
1,4,10,14,18,23,16
9,12,18,20,44,49,1
1,6,7,32,37,43,48
4,10,12,18,27,47,24
23,24,31,39,42,45,2
2,28,29,30,34,45,48
3,8,13,17,18,22,5
6,17,20,39,46,49,11
10,26,30,38,40,41,3
5,12,14,27,44,47,41
1,4,10,14,18,23,16
9,12,18,20,44,49,1
1,6,7,32,37,43,48
4,10,12,18,27,47,24
23,24,31,39,42,45,2
2,28,29,30,34,45,48
3,8,13,17,18,22,5
6,17,20,39,46,49,11
10,26,30,38,40,41,3
5,12,14,27,44,47,41
8,11,15,20,25,33,19
9,12,18,32,40,41,38
20,30,33,37,38,39,43
1,25,28,34,37,43,17
4,6,7,34,41,47,25
10,12,13,14,16,31,20
16,25,30,37,39,40,48
1,4,24,31,34,45,43
1,9,41,45,47,48,15
1,8,28,33,36,49,20
8,11,15,20,25,33,19
9,12,18,32,40,41,38
20,30,33,37,38,39,43
1,25,28,34,37,43,17
4,6,7,34,41,47,25
10,12,13,14,16,31,20
16,25,30,37,39,40,48
1,4,24,31,34,45,43
1,9,41,45,47,48,15
1,8,28,33,36,49,20
3,6,7,16,25,27,20
4,11,26,30,33,42,28
8,23,29,30,36,40,41
3,18,23,37,43,47,34
6,8,12,14,22,30,19
1,9,25,28,29,42,3
9,19,34,36,42,46,24
9,13,18,23,36,49,35
4,11,17,30,34,45,16
16,20,29,31,32,41,10
4,15,33,37,38,45,1
9,12,16,20,39,43,35
5,9,17,31,35,39,8
10,24,32,37,43,47,8
6,17,24,32,39,45,1
5,8,19,29,32,34,41
1,14,15,24,34,40,32
4,19,31,44,45,47,14
4,17,31,40,45,48,26
6,11,31,32,40,43,5
9,10,11,21,36,49,35
15,31,38,43,47,49,48
2,7,35,43,45,46,6
5,13,17,29,31,44,41
9,22,33,34,35,41,12
5,24,27,30,45,49,17
14,21,23,24,25,39,5
9,20,21,38,42,44,35
18,21,29,31,35,45,2
4,8,13,27,33,34,12
23,32,34,44,47,49,39
13,33,35,40,41,42,17
4,15,17,26,27,49,18
14,17,25,26,29,33,45
6,21,27,29,34,46,2
5,10,11,17,22,34,13
9,20,27,33,37,42,19
4,5,27,30,32,47,26
20,23,27,39,43,49,6
7,10,16,22,43,47,33
23,32,34,44,47,49,39
13,33,35,40,41,42,17
4,15,17,26,27,49,18
14,17,25,26,29,33,45
6,21,27,29,34,46,2
5,10,11,17,22,34,13
9,20,27,33,37,42,19
4,5,27,30,32,47,26
20,23,27,39,43,49,6
7,10,16,22,43,47,33
20,25,29,37,46,47,33
2,9,11,25,31,42,35
9,12,25,29,48,49,22
2,22,36,42,44,47,37
2,9,24,26,27,38,46
7,25,26,28,33,45,48
20,21,23,24,36,43,40
7,8,21,28,29,47,27
1,3,25,29,36,38,26
1,11,14,17,39,40,30
1,26,30,31,39,40,29
2,14,20,24,41,47,45
12,15,18,31,47,49,40
8,21,22,24,32,41,44
13,16,20,22,36,43,48
3,5,19,24,36,39,40
9,11,14,24,31,47,12
15,20,23,24,27,44,41
8,9,30,38,40,43,37
2,16,25,39,41,46,44
1,26,30,31,39,40,29
2,14,20,24,41,47,45
12,15,18,31,47,49,40
8,21,22,24,32,41,44
13,16,20,22,36,43,48
3,5,19,24,36,39,40
9,11,14,24,31,47,12
15,20,23,24,27,44,41
8,9,30,38,40,43,37
2,16,25,39,41,46,44
5,13,18,37,43,46,41
1,5,17,18,37,41,20
9,11,12,17,30,48,32
2,17,31,38,43,46,8
3,6,19,20,29,45,32
3,4,19,23,28,31,16
3,13,18,27,34,38,36
13,15,17,25,32,48,28
4,12,13,14,34,38,42
27,31,35,41,42,47,46
4,7,20,26,27,36,44
15,21,26,41,44,45,35
14,17,23,27,40,48,47
7,9,27,37,44,49,40
1,6,23,31,35,46,34
7,15,25,28,41,49,3
2,12,29,38,42,47,36
4,9,11,21,30,44,46
5,13,18,20,29,48,33
2,14,18,23,46,47,39
4,7,20,26,27,36,44
15,21,26,41,44,45,35
14,17,23,27,40,48,47
7,9,27,37,44,49,40
1,6,23,31,35,46,34
7,15,25,28,41,49,3
2,12,29,38,42,47,36
4,9,11,21,30,44,46
5,13,18,20,29,48,33
2,14,18,23,46,47,39
11,20,32,33,39,45,44
8,12,22,33,36,43,39
4,14,36,39,40,44,1
4,12,13,19,30,48,33
2,7,11,12,33,39,20
12,15,20,28,31,47,26
3,9,12,44,45,48,30
1,2,4,23,38,40,39
6,14,20,37,43,47,11
7,8,21,38,43,49,18
11,20,32,33,39,45,44
8,12,22,33,36,43,39
4,14,36,39,40,44,1
4,12,13,19,30,48,33
2,7,11,12,33,39,20
12,15,20,28,31,47,26
3,9,12,44,45,48,30
1,2,4,23,38,40,39
6,14,20,37,43,47,11
7,8,21,38,43,49,18
14,26,28,29,40,42,24
6,18,21,31,37,39,36
5,29,38,40,47,48,42
21,26,30,32,40,41,10
1,19,26,30,33,36,24
33,39,41,42,47,49,44
3,24,27,40,41,46,44
13,18,19,24,43,47,40
11,31,37,40,42,46,26
23,24,28,41,42,43,17
14,26,28,29,40,42,24
6,18,21,31,37,39,36
5,29,38,40,47,48,42
21,26,30,32,40,41,10
1,19,26,30,33,36,24
33,39,41,42,47,49,44
3,24,27,40,41,46,44
13,18,19,24,43,47,40
11,31,37,40,42,46,26
23,24,28,41,42,43,17
3,5,31,33,37,38,20
3,7,20,33,35,47,15
4,7,23,32,33,41,1
10,18,21,27,36,45,1
4,10,19,25,29,37,16
4,18,22,35,36,48,46
4,10,12,19,23,32,15
2,12,22,29,32,33,34
30,32,33,41,46,49,3
1,16,21,38,46,49,29
3,5,31,33,37,38,20
3,7,20,33,35,47,15
4,7,23,32,33,41,1
10,18,21,27,36,45,1
4,10,19,25,29,37,16
4,18,22,35,36,48,46
4,10,12,19,23,32,15
2,12,22,29,32,33,34
30,32,33,41,46,49,3
1,16,21,38,46,49,29
7,8,23,29,32,40,3
13,19,32,35,43,45,41
17,28,29,34,43,45,48
1,18,19,20,28,31,17
6,22,26,32,36,43,31
23,27,37,39,43,45,30
14,23,31,33,36,37,21
2,27,39,42,44,45,23
2,8,20,28,39,41,27
6,9,27,28,38,43,23
7,8,23,29,32,40,3
13,19,32,35,43,45,41
17,28,29,34,43,45,48
1,18,19,20,28,31,17
6,22,26,32,36,43,31
23,27,37,39,43,45,30
14,23,31,33,36,37,21
2,27,39,42,44,45,23
2,8,20,28,39,41,27
6,9,27,28,38,43,23
7,8,36,42,45,48,49
12,30,32,33,39,43,21
9,12,29,30,44,45,20
3,8,17,28,29,38,10
4,8,11,32,39,45,6
7,24,32,36,45,46,6
4,8,16,17,34,41,29
7,8,9,23,40,45,18
4,7,26,27,32,42,31
12,17,38,43,44,49,47
7,8,36,42,45,48,49
12,30,32,33,39,43,21
9,12,29,30,44,45,20
3,8,17,28,29,38,10
4,8,11,32,39,45,6
7,24,32,36,45,46,6
4,8,16,17,34,41,29
7,8,9,23,40,45,18
4,7,26,27,32,42,31
12,17,38,43,44,49,47
8,20,28,31,33,43,7
13,26,35,38,41,46,36
15,27,28,37,46,48,8
1,26,31,33,46,49,16
5,21,23,31,34,49,15
2,9,19,27,33,35,20
10,18,23,25,46,48,8
3,8,11,26,29,33,5
4,5,6,19,34,43,46
2,17,23,28,43,44,48
8,20,28,31,33,43,7
13,26,35,38,41,46,36
15,27,28,37,46,48,8
1,26,31,33,46,49,16
5,21,23,31,34,49,15
2,9,19,27,33,35,20
10,18,23,25,46,48,8
3,8,11,26,29,33,5
4,5,6,19,34,43,46
2,17,23,28,43,44,48
11,13,14,22,27,29,37
1,8,16,21,22,33,43
5,19,26,27,34,42,23
3,13,18,25,29,34,21
1,6,10,16,28,31,13
5,19,27,31,33,37,17
11,27,33,35,38,41,30
12,22,31,34,45,48,19
4,12,17,28,42,46,34
2,11,13,16,36,48,5
11,13,14,22,27,29,37
1,8,16,21,22,33,43
5,19,26,27,34,42,23
3,13,18,25,29,34,21
1,6,10,16,28,31,13
5,19,27,31,33,37,17
11,27,33,35,38,41,30
12,22,31,34,45,48,19
4,12,17,28,42,46,34
2,11,13,16,36,48,5
14,18,29,30,34,35,44
4,9,15,30,34,37,19
15,20,34,36,41,44,12
6,25,33,40,46,48,24
3,7,22,28,43,47,18
11,13,26,27,35,48,22
2,12,21,26,28,37,11
3,11,14,21,38,40,46
6,17,24,28,30,35,33
4,13,14,15,21,28,27
14,18,29,30,34,35,44
4,9,15,30,34,37,19
15,20,34,36,41,44,12
6,25,33,40,46,48,24
3,7,22,28,43,47,18
11,13,26,27,35,48,22
2,12,21,26,28,37,11
3,11,14,21,38,40,46
6,17,24,28,30,35,33
4,13,14,15,21,28,27
14,26,28,29,37,39,48
5,16,19,24,27,32,23
13,21,22,27,44,45,8
23,24,27,33,41,42,19
2,10,18,19,33,34,36
5,9,32,34,42,46,11
6,7,10,15,24,46,39
7,11,19,24,40,41,6
11,23,30,33,39,47,25
5,21,24,27,30,31,14
14,26,28,29,37,39,48
5,16,19,24,27,32,23
13,21,22,27,44,45,8
23,24,27,33,41,42,19
2,10,18,19,33,34,36
5,9,32,34,42,46,11
6,7,10,15,24,46,39
7,11,19,24,40,41,6
11,23,30,33,39,47,25
5,21,24,27,30,31,14
19,20,21,29,42,45,13
9,28,33,40,45,47,1
3,9,12,22,31,41,35
2,34,41,42,45,47,28
3,5,9,10,18,25,47
7,11,12,20,26,44,14
9,10,16,21,22,29,45
20,23,35,43,45,47,21
18,20,33,34,44,49,26
13,14,20,31,41,48,25
19,20,21,29,42,45,13
9,28,33,40,45,47,1
3,9,12,22,31,41,35
2,34,41,42,45,47,28
3,5,9,10,18,25,47
7,11,12,20,26,44,14
9,10,16,21,22,29,45
20,23,35,43,45,47,21
18,20,33,34,44,49,26
13,14,20,31,41,48,25
1,11,25,32,38,42,10
14,19,25,26,29,40,35
20,22,25,40,43,47,19
7,12,21,41,43,44,23
6,15,18,32,44,49,45
9,22,25,27,31,40,18
14,15,26,28,31,49,9
3,6,12,21,37,44,17
12,26,28,33,37,39,6
6,16,23,26,32,37,19
1,11,25,32,38,42,10
14,19,25,26,29,40,35
20,22,25,40,43,47,19
7,12,21,41,43,44,23
6,15,18,32,44,49,45
9,22,25,27,31,40,18
14,15,26,28,31,49,9
3,6,12,21,37,44,17
12,26,28,33,37,39,6
6,16,23,26,32,37,19
10,17,27,28,32,45,43
1,18,28,36,40,42,27
11,14,18,28,30,33,22
23,26,29,31,33,40,8
7,15,21,26,31,35,42
2,5,8,10,31,37,24
15,27,28,32,42,45,5
3,9,16,20,30,38,29
2,8,16,30,41,47,25
14,19,34,36,38,44,25
10,17,27,28,32,45,43
1,18,28,36,40,42,27
11,14,18,28,30,33,22
23,26,29,31,33,40,8
7,15,21,26,31,35,42
2,5,8,10,31,37,24
15,27,28,32,42,45,5
3,9,16,20,30,38,29
2,8,16,30,41,47,25
14,19,34,36,38,44,25
2,6,25,37,39,46,11
9,10,19,31,39,49,5
2,3,16,20,24,46,23
11,18,24,25,28,38,42
1,26,32,35,38,49,9
7,19,20,25,30,49,15
10,13,14,29,31,43,33
9,15,24,26,31,48,18
1,18,21,25,31,35,6
6,13,18,25,36,47,17
2,6,25,37,39,46,11
9,10,19,31,39,49,5
2,3,16,20,24,46,23
11,18,24,25,28,38,42
1,26,32,35,38,49,9
7,19,20,25,30,49,15
10,13,14,29,31,43,33
9,15,24,26,31,48,18
1,18,21,25,31,35,6
6,13,18,25,36,47,17
6,13,18,23,47,49,45
1,7,10,20,31,49,37
20,25,34,43,48,49,27
1,3,9,17,22,47,31
4,14,17,20,37,42,29
13,25,26,39,45,49,37
14,16,23,38,41,44,10
1,13,17,33,44,46,48
5,6,31,32,44,48,20
14,20,24,35,36,48,38
6,13,18,23,47,49,45
1,7,10,20,31,49,37
20,25,34,43,48,49,27
1,3,9,17,22,47,31
4,14,17,20,37,42,29
13,25,26,39,45,49,37
14,16,23,38,41,44,10
1,13,17,33,44,46,48
5,6,31,32,44,48,20
14,20,24,35,36,48,38
8,9,10,24,42,46,1
1,6,12,17,18,34,11
3,14,28,35,41,44,30
1,2,13,19,26,33,30
4,20,25,26,31,43,47
21,22,24,30,36,39,11
27,35,39,41,44,48,29
5,24,25,33,40,48,42
2,12,18,19,25,40,4
1,5,6,18,24,44,40
10,12,25,28,34,38,42
14,17,22,31,47,49,15
13,24,36,37,38,42,32
6,29,30,34,41,49,32
3,16,23,30,38,44,33
13,14,15,29,31,48,9
1,9,13,18,27,46,20
22,28,30,35,47,49,34
5,8,21,29,33,49,13
10,13,14,27,34,46,4
10,12,25,28,34,38,42
14,17,22,31,47,49,15
13,24,36,37,38,42,32
6,29,30,34,41,49,32
3,16,23,30,38,44,33
13,14,15,29,31,48,9
1,9,13,18,27,46,20
22,28,30,35,47,49,34
5,8,21,29,33,49,13
10,13,14,27,34,46,4
2,9,15,34,47,48,16
1,14,15,27,29,48,39
6,9,25,34,47,48,26
12,17,27,36,37,39,35
3,8,14,22,23,26,41
2,12,17,46,47,49,7
5,6,22,30,33,48,38
2,7,13,24,25,33,11
1,16,17,19,25,26,34
4,7,31,33,37,43,25
2,9,15,34,47,48,16
1,14,15,27,29,48,39
6,9,25,34,47,48,26
12,17,27,36,37,39,35
3,8,14,22,23,26,41
2,12,17,46,47,49,7
5,6,22,30,33,48,38
2,7,13,24,25,33,11
1,16,17,19,25,26,34
4,7,31,33,37,43,25
11,19,38,39,44,47,48
10,15,16,30,36,42,47
23,27,31,38,39,47,33
4,12,16,21,32,39,22
10,11,28,29,33,41,49
17,21,27,28,41,45,36
4,14,22,26,35,46,41
2,15,35,37,38,49,44
7,9,12,32,37,47,16
22,28,29,30,31,41,20
3,5,9,30,35,46,43
9,18,23,27,35,47,16
3,16,20,25,34,46,15
2,4,11,13,17,46,40
6,10,21,31,32,34,20
3,7,14,30,35,48,36
4,15,19,28,46,48,18
2,7,11,21,43,48,37
10,11,14,21,43,45,28
1,16,38,40,41,43,6
3,7,14,22,35,42,18
6,22,24,26,39,40,41
7,9,15,18,36,37,40
4,20,21,35,37,40,24
23,26,34,36,39,44,33
2,7,17,26,39,41,42
10,11,17,30,33,35,22
4,23,29,36,40,45,47
6,14,22,23,34,45,29
9,12,24,36,38,48,21
2,11,13,36,45,49,14
1,5,16,27,43,47,38
12,29,30,32,42,48,22
12,15,28,38,44,45,25
9,18,20,29,44,47,23
7,15,24,26,28,43,21
1,13,23,26,28,35,39
5,13,19,20,36,41,10
3,6,7,18,26,35,43
3,25,28,38,41,46,23
2,11,13,36,45,49,14
1,5,16,27,43,47,38
12,29,30,32,42,48,22
12,15,28,38,44,45,25
9,18,20,29,44,47,23
7,15,24,26,28,43,21
1,13,23,26,28,35,39
5,13,19,20,36,41,10
3,6,7,18,26,35,43
3,25,28,38,41,46,23
5,6,13,25,46,47,26
4,9,18,29,32,41,38
7,11,19,21,29,32,20
12,18,42,44,46,47,7
9,13,17,29,30,33,23
3,6,11,14,26,44,43
4,12,16,19,44,46,7
8,9,14,18,30,31,24
3,4,12,17,19,37,32
4,5,20,43,46,47,27
5,6,13,25,46,47,26
4,9,18,29,32,41,38
7,11,19,21,29,32,20
12,18,42,44,46,47,7
9,13,17,29,30,33,23
3,6,11,14,26,44,43
4,12,16,19,44,46,7
8,9,14,18,30,31,24
3,4,12,17,19,37,32
4,5,20,43,46,47,27
11,16,17,33,38,45,40
4,11,12,44,46,48,42
3,16,26,27,30,34,46
5,18,37,42,44,47,28
2,23,25,27,38,49,10
1,8,23,39,44,47,7
4,6,8,12,33,48,1
8,24,26,27,33,45,2
14,16,17,25,37,47,45
6,10,17,20,22,33,18
6,18,19,27,42,46,29
10,23,36,38,40,42,31
11,33,36,39,45,46,1
12,24,33,40,42,45,32
14,29,32,34,44,45,8
1,7,21,25,28,41,20
1,3,5,16,36,37,25
3,11,18,37,40,47,46
9,20,29,37,45,47,26
8,11,21,26,33,40,24
9,18,22,37,39,47,20
9,16,19,26,39,46,6
2,16,19,20,26,32,41
8,9,20,31,34,35,42
1,7,33,36,40,47,39
8,21,27,31,34,36,7
7,8,22,35,38,49,39
5,15,23,29,42,46,27
3,14,24,35,36,40,21
5,21,24,29,44,45,33
9,18,22,37,39,47,20
9,16,19,26,39,46,6
2,16,19,20,26,32,41
8,9,20,31,34,35,42
1,7,33,36,40,47,39
8,21,27,31,34,36,7
7,8,22,35,38,49,39
5,15,23,29,42,46,27
3,14,24,35,36,40,21
5,21,24,29,44,45,33
8,25,28,31,34,48,11
17,23,31,33,36,42,21
10,14,20,25,33,35,46
2,18,38,39,43,48,26
1,5,7,9,11,27,33
3,23,28,33,36,42,35
15,32,33,37,39,46,29
14,15,26,28,33,35,10
2,3,4,30,40,45,18
2,13,32,37,40,49,45
8,25,28,31,34,48,11
17,23,31,33,36,42,21
10,14,20,25,33,35,46
2,18,38,39,43,48,26
1,5,7,9,11,27,33
3,23,28,33,36,42,35
15,32,33,37,39,46,29
14,15,26,28,33,35,10
2,3,4,30,40,45,18
2,13,32,37,40,49,45
20,23,31,36,37,43,34
19,26,32,33,40,45,39
15,24,27,32,46,48,8
2,6,30,42,45,47,43
2,10,11,30,36,47,34
8,12,22,34,41,42,45
5,7,13,27,38,48,30
12,27,28,31,34,44,10
24,25,28,35,43,49,10
1,20,32,40,43,44,29
20,23,31,36,37,43,34
19,26,32,33,40,45,39
15,24,27,32,46,48,8
2,6,30,42,45,47,43
2,10,11,30,36,47,34
8,12,22,34,41,42,45
5,7,13,27,38,48,30
12,27,28,31,34,44,10
24,25,28,35,43,49,10
1,20,32,40,43,44,29
8,11,20,21,27,39,22
5,9,11,15,42,45,44
2,7,9,20,22,32,44
5,7,14,29,36,42,1
4,9,29,30,37,47,13
10,12,28,41,46,48,47
5,12,27,32,37,41,24
13,14,20,31,46,49,36
2,4,6,22,28,41,37
12,17,19,36,43,48,5
2,4,22,41,42,46,18
3,15,30,37,42,45,29
1,5,11,17,41,49,21
16,18,22,37,41,44,47
1,14,22,26,28,37,30
3,17,18,25,32,45,24
22,28,33,34,36,40,41
2,5,7,10,12,36,13
22,24,36,38,41,46,11
4,18,34,36,38,48,7
2,7,17,33,35,37,15
7,17,27,29,41,42,22
