numbers,bonus_ball,date
"3,20,26,30,37,44",16,2024-11-12
"14,24,33,42,44,49",25,2024-11-15
"1,7,17,37,46,47",2,2024-11-18
"5,10,30,40,47,48",7,2024-11-21
"2,7,11,14,39,46",4,2024-11-24
"4,12,40,41,42,47",27,2024-11-27
"3,17,28,33,37,39",26,2024-11-30
"5,11,19,40,42,49",9,2024-12-03
"6,13,16,34,41,44",11,2024-12-06
"6,11,24,25,31,39",20,2024-12-09
"3,20,26,30,37,44",16,2024-12-12
"14,24,33,42,44,49",25,2024-12-15
"1,7,17,37,46,47",2,2024-12-18
"5,10,30,40,47,48",7,2024-12-21
"2,7,11,14,39,46",4,2024-12-24
"4,12,40,41,42,47",27,2024-12-27
"3,17,28,33,37,39",26,2024-12-30
"5,11,19,40,42,49",9,2025-01-02
"2,10,16,21,32,38",3,2025-01-05
"2,5,8,33,36,49",4,2025-01-08
"14,23,25,30,40,45",19,2025-01-11
"15,17,32,36,38,45",21,2025-01-14
"2,19,21,28,30,34",14,2025-01-17
"16,30,32,35,36,45",25,2025-01-20
"1,7,11,12,33,49",2,2025-01-23
"8,25,33,41,44,47",17,2025-01-26
"1,27,32,38,46,49",16,2025-01-29
"9,14,24,29,33,37",10,2025-02-01
"2,10,16,21,32,38",3,2025-02-04
"2,5,8,33,36,49",4,2025-02-07
"14,23,25,30,40,45",19,2025-02-10
"15,17,32,36,38,45",21,2025-02-13
"2,19,21,28,30,34",14,2025-02-16
"16,30,32,35,36,45",25,2025-02-19
"1,7,11,12,33,49",2,2025-02-22
"8,25,33,41,44,47",17,2025-02-25
"1,27,32,38,46,49",16,2025-02-28
"9,14,24,29,33,37",10,2025-03-03
"1,13,19,21,42,48",4,2025-03-06
"5,33,42,46,48,49",20,2025-03-09
"9,16,22,28,29,41",10,2025-03-12
"12,27,31,37,40,41",22,2025-03-15
"2,9,35,42,44,49",31,2025-03-18
"3,20,22,23,24,49",14,2025-03-21
"21,26,30,39,41,43",29,2025-03-24
"11,32,36,37,39,44",20,2025-03-27
"10,17,29,30,38,39",18,2025-03-30
"2,7,11,14,15,19",4,2025-04-02
"1,13,19,21,42,48",4,2025-04-05
"5,33,42,46,48,49",20,2025-04-08
"9,16,22,28,29,41",10,2025-04-11
"12,27,31,37,40,41",22,2025-04-14
"2,9,35,42,44,49",31,2025-04-17
"3,20,22,23,24,49",14,2025-04-20
"21,26,30,39,41,43",29,2025-04-23
"11,32,36,37,39,44",20,2025-04-26
"10,17,29,30,38,39",18,2025-04-29
"2,7,11,14,15,19",4,2025-05-02
"2,13,28,39,41,45",11,2025-05-05
"11,18,21,29,30,47",17,2025-05-08
"2,8,33,36,44,47",5,2025-05-11
"9,26,35,38,44,47",17,2025-05-14
"2,23,29,35,38,47",17,2025-05-17
"5,10,17,24,25,36",8,2025-05-20
"9,34,35,38,39,47",21,2025-05-23
"2,8,14,22,27,47",5,2025-05-26
"8,11,29,30,37,42",10,2025-05-29
"4,6,21,22,33,42",16,2025-06-01
"2,13,28,39,41,45",11,2025-06-04
"11,18,21,29,30,47",17,2025-06-07
"2,8,33,36,44,47",5,2025-06-10
"9,26,35,38,44,47",17,2025-06-13
"2,23,29,35,38,47",17,2025-06-16
"5,10,17,24,25,36",8,2025-06-19
"9,34,35,38,39,47",21,2025-06-22
"2,8,14,22,27,47",5,2025-06-25
"8,11,29,30,37,42",10,2025-06-28
"4,6,21,22,33,42",16,2025-07-01
"4,10,18,21,30,33",6,2025-07-04
"5,21,28,33,36,41",11,2025-07-07
"7,17,19,35,37,44",12,2025-07-10
"6,7,17,29,34,38",13,2025-07-13
"4,14,30,38,42,43",26,2025-07-16
"9,27,37,39,41,46",10,2025-07-19
"5,9,26,38,45,47",23,2025-07-22
"13,14,27,28,41,47",21,2025-07-25
"5,16,19,36,39,40",18,2025-07-28
"3,28,30,33,39,43",11,2025-07-31
"4,10,18,21,30,33",6,2025-08-03
"5,21,28,33,36,41",11,2025-08-06
"7,17,19,35,37,44",12,2025-08-09
"6,7,17,29,34,38",13,2025-08-12
"4,14,30,38,42,43",26,2025-08-15
"9,27,37,39,41,46",10,2025-08-18
"5,9,26,38,45,47",23,2025-08-21
"13,14,27,28,41,47",21,2025-08-24
"5,16,19,36,39,40",18,2025-08-27
"3,28,30,33,39,43",11,2025-08-30
"3,6,16,25,30,36",12,2025-09-02
"4,6,10,16,24,43",8,2025-09-05
"10,14,26,28,41,45",15,2025-09-08
"4,6,18,21,25,42",15,2025-09-11
"6,10,12,21,23,26",8,2025-09-14
"2,23,25,27,30,37",20,2025-09-17
"1,7,15,19,39,40",4,2025-09-20
"23,30,33,38,41,48",24,2025-09-23
"9,32,40,43,47,48",31,2025-09-26
"2,6,29,32,36,48",21,2025-09-29
"3,6,16,25,30,36",12,2025-10-02
"4,6,10,16,24,43",8,2025-10-05
"10,14,26,28,41,45",15,2025-10-08
"4,6,18,21,25,42",15,2025-10-11
"6,10,12,21,23,26",8,2025-10-14
"2,23,25,27,30,37",20,2025-10-17
"1,7,15,19,39,40",4,2025-10-20
"23,30,33,38,41,48",24,2025-10-23
"9,32,40,43,47,48",31,2025-10-26
"2,6,29,32,36,48",21,2025-10-29
"1,10,14,16,18,23",4,2025-11-01
"1,9,18,20,44,49",12,2025-11-04
"1,7,32,37,43,48",6,2025-11-07
"4,12,18,24,27,47",10,2025-11-10
"2,23,31,39,42,45",24,2025-11-13
"2,29,30,34,45,48",28,2025-11-16
"3,5,13,17,18,22",8,2025-11-19
"6,11,20,39,46,49",17,2025-11-22
"3,10,30,38,40,41",26,2025-11-25
"5,14,27,41,44,47",12,2025-11-28
"1,10,14,16,18,23",4,2025-12-01
"1,9,18,20,44,49",12,2025-12-04
"1,7,32,37,43,48",6,2025-12-07
"4,12,18,24,27,47",10,2025-12-10
"2,23,31,39,42,45",24,2025-12-13
"2,29,30,34,45,48",28,2025-12-16
"3,5,13,17,18,22",8,2025-12-19
"6,11,20,39,46,49",17,2025-12-22
"3,10,30,38,40,41",26,2025-12-25
"5,14,27,41,44,47",12,2025-12-28
"8,15,19,20,25,33",11,2025-12-31
"9,18,32,38,40,41",12,2026-01-03
"20,33,37,38,39,43",30,2026-01-06
"1,17,28,34,37,43",25,2026-01-09
"4,7,25,34,41,47",6,2026-01-12
"10,13,14,16,20,31",12,2026-01-15
"16,30,37,39,40,48",25,2026-01-18
"1,24,31,34,43,45",4,2026-01-21
"1,15,41,45,47,48",9,2026-01-24
"1,20,28,33,36,49",8,2026-01-27
"8,15,19,20,25,33",11,2026-01-30
"9,18,32,38,40,41",12,2026-02-02
"20,33,37,38,39,43",30,2026-02-05
"1,17,28,34,37,43",25,2026-02-08
"4,7,25,34,41,47",6,2026-02-11
"10,13,14,16,20,31",12,2026-02-14
"16,30,37,39,40,48",25,2026-02-17
"1,24,31,34,43,45",4,2026-02-20
"1,15,41,45,47,48",9,2026-02-23
"1,20,28,33,36,49",8,2026-02-26
"3,7,16,20,25,27",6,2026-03-01
"4,26,28,30,33,42",11,2026-03-04
"8,29,30,36,40,41",23,2026-03-07
"3,23,34,37,43,47",18,2026-03-10
"6,12,14,19,22,30",8,2026-03-13
"1,3,25,28,29,42",9,2026-03-16
"9,24,34,36,42,46",19,2026-03-19
"9,18,23,35,36,49",13,2026-03-22
"4,16,17,30,34,45",11,2026-03-25
"10,16,29,31,32,41",20,2026-03-28
"1,4,33,37,38,45",15,2026-03-31
"9,16,20,35,39,43",12,2026-04-03
"5,8,17,31,35,39",9,2026-04-06
"8,10,32,37,43,47",24,2026-04-09
"1,6,24,32,39,45",17,2026-04-12
"5,19,29,32,34,41",8,2026-04-15
"1,15,24,32,34,40",14,2026-04-18
"4,14,31,44,45,47",19,2026-04-21
"4,26,31,40,45,48",17,2026-04-24
"5,6,31,32,40,43",11,2026-04-27
"9,11,21,35,36,49",10,2026-04-30
"15,38,43,47,48,49",31,2026-05-03
"2,6,35,43,45,46",7,2026-05-06
"5,17,29,31,41,44",13,2026-05-09
"9,12,33,34,35,41",22,2026-05-12
"5,17,27,30,45,49",24,2026-05-15
"5,14,23,24,25,39",21,2026-05-18
"9,21,35,38,42,44",20,2026-05-21
"2,18,29,31,35,45",21,2026-05-24
"4,12,13,27,33,34",8,2026-05-27
"23,34,39,44,47,49",32,2026-05-30
"13,17,35,40,41,42",33,2026-06-02
"4,17,18,26,27,49",15,2026-06-05
"14,25,26,29,33,45",17,2026-06-08
"2,6,27,29,34,46",21,2026-06-11
"5,11,13,17,22,34",10,2026-06-14
"9,19,27,33,37,42",20,2026-06-17
"4,26,27,30,32,47",5,2026-06-20
"6,20,27,39,43,49",23,2026-06-23
"7,16,22,33,43,47",10,2026-06-26
"23,34,39,44,47,49",32,2026-06-29
"13,17,35,40,41,42",33,2026-07-02
"4,17,18,26,27,49",15,2026-07-05
"14,25,26,29,33,45",17,2026-07-08
"2,6,27,29,34,46",21,2026-07-11
"5,11,13,17,22,34",10,2026-07-14
"9,19,27,33,37,42",20,2026-07-17
"4,26,27,30,32,47",5,2026-07-20
"6,20,27,39,43,49",23,2026-07-23
"7,16,22,33,43,47",10,2026-07-26
"20,29,33,37,46,47",25,2026-07-29
"2,11,25,31,35,42",9,2026-08-01
"9,22,25,29,48,49",12,2026-08-04
"2,36,37,42,44,47",22,2026-08-07
"2,24,26,27,38,46",9,2026-08-10
"7,26,28,33,45,48",25,2026-08-13
"20,23,24,36,40,43",21,2026-08-16
"7,21,27,28,29,47",8,2026-08-19
"1,25,26,29,36,38",3,2026-08-22
"1,14,17,30,39,40",11,2026-08-25
"1,29,30,31,39,40",26,2026-08-28
"2,20,24,41,45,47",14,2026-08-31
"12,18,31,40,47,49",15,2026-09-03
"8,22,24,32,41,44",21,2026-09-06
"13,20,22,36,43,48",16,2026-09-09
"3,19,24,36,39,40",5,2026-09-12
"9,12,14,24,31,47",11,2026-09-15
"15,23,24,27,41,44",20,2026-09-18
"8,30,37,38,40,43",9,2026-09-21
"2,25,39,41,44,46",16,2026-09-24
"1,29,30,31,39,40",26,2026-09-27
"2,20,24,41,45,47",14,2026-09-30
"12,18,31,40,47,49",15,2026-10-03
"8,22,24,32,41,44",21,2026-10-06
"13,20,22,36,43,48",16,2026-10-09
"3,19,24,36,39,40",5,2026-10-12
"9,12,14,24,31,47",11,2026-10-15
"15,23,24,27,41,44",20,2026-10-18
"8,30,37,38,40,43",9,2026-10-21
"2,25,39,41,44,46",16,2026-10-24
"5,18,37,41,43,46",13,2026-10-27
"1,17,18,20,37,41",5,2026-10-30
"9,12,17,30,32,48",11,2026-11-02
"2,8,31,38,43,46",17,2026-11-05
"3,19,20,29,32,45",6,2026-11-08
"3,16,19,23,28,31",4,2026-11-11
"3,18,27,34,36,38",13,2026-11-14
"13,17,25,28,32,48",15,2026-11-17
"4,13,14,34,38,42",12,2026-11-20
"27,35,41,42,46,47",31,2026-11-23
"4,20,26,27,36,44",7,2026-11-26
"15,26,35,41,44,45",21,2026-11-29
"14,23,27,40,47,48",17,2026-12-02
"7,27,37,40,44,49",9,2026-12-05
"1,23,31,34,35,46",6,2026-12-08
"3,7,25,28,41,49",15,2026-12-11
"2,29,36,38,42,47",12,2026-12-14
"4,11,21,30,44,46",9,2026-12-17
"5,18,20,29,33,48",13,2026-12-20
"2,18,23,39,46,47",14,2026-12-23
"4,20,26,27,36,44",7,2026-12-26
"15,26,35,41,44,45",21,2026-12-29
"14,23,27,40,47,48",17,2027-01-01
"7,27,37,40,44,49",9,2027-01-04
"1,23,31,34,35,46",6,2027-01-07
"3,7,25,28,41,49",15,2027-01-10
"2,29,36,38,42,47",12,2027-01-13
"4,11,21,30,44,46",9,2027-01-16
"5,18,20,29,33,48",13,2027-01-19
"2,18,23,39,46,47",14,2027-01-22
"11,32,33,39,44,45",20,2027-01-25
"8,22,33,36,39,43",12,2027-01-28
"1,4,36,39,40,44",14,2027-01-31
"4,13,19,30,33,48",12,2027-02-03
"2,11,12,20,33,39",7,2027-02-06
"12,20,26,28,31,47",15,2027-02-09
"3,12,30,44,45,48",9,2027-02-12
"1,4,23,38,39,40",2,2027-02-15
"6,11,20,37,43,47",14,2027-02-18
"7,18,21,38,43,49",8,2027-02-21
"11,32,33,39,44,45",20,2027-02-24
"8,22,33,36,39,43",12,2027-02-27
"1,4,36,39,40,44",14,2027-03-02
"4,13,19,30,33,48",12,2027-03-05
"2,11,12,20,33,39",7,2027-03-08
"12,20,26,28,31,47",15,2027-03-11
"3,12,30,44,45,48",9,2027-03-14
"1,4,23,38,39,40",2,2027-03-17
"6,11,20,37,43,47",14,2027-03-20
"7,18,21,38,43,49",8,2027-03-23
"14,24,28,29,40,42",26,2027-03-26
"6,21,31,36,37,39",18,2027-03-29
"5,38,40,42,47,48",29,2027-04-01
"10,21,30,32,40,41",26,2027-04-04
"1,24,26,30,33,36",19,2027-04-07
"33,41,42,44,47,49",39,2027-04-10
"3,27,40,41,44,46",24,2027-04-13
"13,19,24,40,43,47",18,2027-04-16
"11,26,37,40,42,46",31,2027-04-19
"17,23,28,41,42,43",24,2027-04-22
"14,24,28,29,40,42",26,2027-04-25
"6,21,31,36,37,39",18,2027-04-28
"5,38,40,42,47,48",29,2027-05-01
"10,21,30,32,40,41",26,2027-05-04
"1,24,26,30,33,36",19,2027-05-07
"33,41,42,44,47,49",39,2027-05-10
"3,27,40,41,44,46",24,2027-05-13
"13,19,24,40,43,47",18,2027-05-16
"11,26,37,40,42,46",31,2027-05-19
"17,23,28,41,42,43",24,2027-05-22
"3,20,31,33,37,38",5,2027-05-25
"3,15,20,33,35,47",7,2027-05-28
"1,4,23,32,33,41",7,2027-05-31
"1,10,21,27,36,45",18,2027-06-03
"4,16,19,25,29,37",10,2027-06-06
"4,22,35,36,46,48",18,2027-06-09
"4,12,15,19,23,32",10,2027-06-12
"2,22,29,32,33,34",12,2027-06-15
"3,30,33,41,46,49",32,2027-06-18
"1,21,29,38,46,49",16,2027-06-21
"3,20,31,33,37,38",5,2027-06-24
"3,15,20,33,35,47",7,2027-06-27
"1,4,23,32,33,41",7,2027-06-30
"1,10,21,27,36,45",18,2027-07-03
"4,16,19,25,29,37",10,2027-07-06
"4,22,35,36,46,48",18,2027-07-09
"4,12,15,19,23,32",10,2027-07-12
"2,22,29,32,33,34",12,2027-07-15
"3,30,33,41,46,49",32,2027-07-18
"1,21,29,38,46,49",16,2027-07-21
"3,7,23,29,32,40",8,2027-07-24
"13,32,35,41,43,45",19,2027-07-27
"17,29,34,43,45,48",28,2027-07-30
"1,17,19,20,28,31",18,2027-08-02
"6,26,31,32,36,43",22,2027-08-05
"23,30,37,39,43,45",27,2027-08-08
"14,21,31,33,36,37",23,2027-08-11
"2,23,39,42,44,45",27,2027-08-14
"2,20,27,28,39,41",8,2027-08-17
"6,23,27,28,38,43",9,2027-08-20
"3,7,23,29,32,40",8,2027-08-23
"13,32,35,41,43,45",19,2027-08-26
"17,29,34,43,45,48",28,2027-08-29
"1,17,19,20,28,31",18,2027-09-01
"6,26,31,32,36,43",22,2027-09-04
"23,30,37,39,43,45",27,2027-09-07
"14,21,31,33,36,37",23,2027-09-10
"2,23,39,42,44,45",27,2027-09-13
"2,20,27,28,39,41",8,2027-09-16
"6,23,27,28,38,43",9,2027-09-19
"7,36,42,45,48,49",8,2027-09-22
"12,21,32,33,39,43",30,2027-09-25
"9,20,29,30,44,45",12,2027-09-28
"3,10,17,28,29,38",8,2027-10-01
"4,6,11,32,39,45",8,2027-10-04
"6,7,32,36,45,46",24,2027-10-07
"4,16,17,29,34,41",8,2027-10-10
"7,9,18,23,40,45",8,2027-10-13
"4,26,27,31,32,42",7,2027-10-16
"12,38,43,44,47,49",17,2027-10-19
"7,36,42,45,48,49",8,2027-10-22
"12,21,32,33,39,43",30,2027-10-25
"9,20,29,30,44,45",12,2027-10-28
"3,10,17,28,29,38",8,2027-10-31
"4,6,11,32,39,45",8,2027-11-03
"6,7,32,36,45,46",24,2027-11-06
"4,16,17,29,34,41",8,2027-11-09
"7,9,18,23,40,45",8,2027-11-12
"4,26,27,31,32,42",7,2027-11-15
"12,38,43,44,47,49",17,2027-11-18
"7,8,28,31,33,43",20,2027-11-21
"13,35,36,38,41,46",26,2027-11-24
"8,15,28,37,46,48",27,2027-11-27
"1,16,31,33,46,49",26,2027-11-30
"5,15,23,31,34,49",21,2027-12-03
"2,19,20,27,33,35",9,2027-12-06
"8,10,23,25,46,48",18,2027-12-09
"3,5,11,26,29,33",8,2027-12-12
"4,6,19,34,43,46",5,2027-12-15
"2,23,28,43,44,48",17,2027-12-18
"7,8,28,31,33,43",20,2027-12-21
"13,35,36,38,41,46",26,2027-12-24
"8,15,28,37,46,48",27,2027-12-27
"1,16,31,33,46,49",26,2027-12-30
"5,15,23,31,34,49",21,2028-01-02
"2,19,20,27,33,35",9,2028-01-05
"8,10,23,25,46,48",18,2028-01-08
"3,5,11,26,29,33",8,2028-01-11
"4,6,19,34,43,46",5,2028-01-14
"2,23,28,43,44,48",17,2028-01-17
"11,14,22,27,29,37",13,2028-01-20
"1,16,21,22,33,43",8,2028-01-23
"5,23,26,27,34,42",19,2028-01-26
"3,18,21,25,29,34",13,2028-01-29
"1,10,13,16,28,31",6,2028-02-01
"5,17,27,31,33,37",19,2028-02-04
"11,30,33,35,38,41",27,2028-02-07
"12,19,31,34,45,48",22,2028-02-10
"4,17,28,34,42,46",12,2028-02-13
"2,5,13,16,36,48",11,2028-02-16
"11,14,22,27,29,37",13,2028-02-19
"1,16,21,22,33,43",8,2028-02-22
"5,23,26,27,34,42",19,2028-02-25
"3,18,21,25,29,34",13,2028-02-28
"1,10,13,16,28,31",6,2028-03-02
"5,17,27,31,33,37",19,2028-03-05
"11,30,33,35,38,41",27,2028-03-08
"12,19,31,34,45,48",22,2028-03-11
"4,17,28,34,42,46",12,2028-03-14
"2,5,13,16,36,48",11,2028-03-17
